what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462251851471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462251851860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462251855538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462251859715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462251913246
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1462252046802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252051282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252052882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252073690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252075714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1462252075731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1462252075731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252080848
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1462252083401
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1462252083575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252083894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1462252083911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252089607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252093431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252139880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252141547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252142015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252180698
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252188809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252191780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252199404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252201807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252209471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1462252251712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252712997
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1462252714866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462252763690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462253010883
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1462253010908
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1462253011227
