what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1462596912442
os,sysinfo,,,"win32",1462596912445
arch,sysinfo,,,"x86",1462596912445
ws,sysinfo,,,"win32",1462596912445
locale,sysinfo,,,"en_IN",1462596912445
processors,sysinfo,,,"4",1462596912445
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1462596912445
java.runtime.version,sysinfo,,,"1.8.0-b132",1462596912445
java.specification.name,sysinfo,,,"Java Platform API Specification",1462596912445
java.specification.vendor,sysinfo,,,"Oracle Corporation",1462596912445
java.specification.version,sysinfo,,,"1.8",1462596912445
java.vendor,sysinfo,,,"Oracle Corporation",1462596912445
java.version,sysinfo,,,"1.8.0",1462596912445
java.vm.info,sysinfo,,,"mixed mode",1462596912445
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1462596912445
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1462596912445
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1462596912445
java.vm.specification.version,sysinfo,,,"1.8",1462596912445
java.vm.vendor,sysinfo,,,"Oracle Corporation",1462596912445
java.vm.version,sysinfo,,,"25.0-b70",1462596912445
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1462596913653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462596914054
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1462596914352
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1462596922036
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1462596922041
